日期,转债代码,转债名称,操作,数量,价格,金额,收益,收益率
2018-01-19,110041.SH,蒙电转债,卖出,2,101.29,202.58,-7.2990408884401745,-3.477736918151786
2018-01-19,123003.SZ,蓝思转债,卖出,14,96.79,1355.0600000000002,12.740000000000151,0.9491030454735094
2018-01-19,113017.SH,吉视转债,买入,3,99.22,297.65999999999997,0.0,0.0
2018-01-22,110041.SH,蒙电转债,卖出,1,102.38,102.38,-2.6655735219808037,-2.537540071998401
2018-01-22,113017.SH,吉视转债,卖出,20,101.24,2024.8,57.30316831683126,2.9124910085780886
2018-01-22,123003.SZ,蓝思转债,卖出,2071,98.6,204200.59999999998,4290.800000000013,2.1463680119734097
2018-01-22,128027.SZ,崇达转债,买入,1898,106.7,202516.6,0.0,0.0
2018-01-23,110041.SH,蒙电转债,卖出,13,103.3,1342.8999999999999,-23.38284630940356,-1.7114206163507895
2018-01-23,113017.SH,吉视转债,卖出,11,102.07,1122.77,29.825509999999852,2.7289135242357876
2018-01-23,128027.SZ,崇达转债,卖出,1898,106.271,201702.358,-814.2420000000038,-0.40206185567011055
2018-01-23,110042.SH,航电转债,买入,1929,105.25,203027.25,0.0,0.0
2018-01-24,113017.SH,吉视转债,卖出,45,105.62,4752.900000000001,257.03619909502254,5.717170503325386
2018-01-24,110042.SH,航电转债,卖出,4,106.71,426.84,5.839999999999975,1.3871733966745792
2018-01-24,110041.SH,蒙电转债,买入,4,104.3,417.2,0.0,0.0
2018-01-24,123001.SZ,蓝标转债,买入,2062,99.6,205375.19999999998,0.0,0.0
2018-01-25,113017.SH,吉视转债,卖出,2,106.81,213.62,9.178456790123448,4.489526270451294
2018-01-25,110042.SH,航电转债,卖出,1925,110.4,212520.0,9492.75,4.675603890610747
2018-01-25,123001.SZ,蓝标转债,卖出,2062,99.31,204777.22,-597.9799999999836,-0.2911646586345351
2018-01-25,110041.SH,蒙电转债,买入,5,105.11,525.55,0.0,0.0
2018-01-25,128026.SZ,众兴转债,买入,2049,101.258,207477.642,0.0,0.0
2018-01-25,128032.SZ,双环转债,买入,1980,104.75,207405.0,0.0,0.0
2018-01-26,110041.SH,蒙电转债,卖出,1974,103.91,205118.34,-3709.60000000001,-1.7763906496420012
2018-01-26,128026.SZ,众兴转债,卖出,4,100.91,403.64,-1.391999999999996,-0.3436765490134053
2018-01-26,128032.SZ,双环转债,卖出,9,104.7,942.3000000000001,-0.4499999999999744,-0.04773269689737347
2018-01-26,113017.SH,吉视转债,买入,12,105.63,1267.56,0.0,0.0
2018-01-26,123007.SZ,道氏转债,买入,1749,118.004,206388.996,0.0,0.0
2018-01-29,113017.SH,吉视转债,卖出,12,104.01,1248.1200000000001,19.963971340839294,1.625524027483305
2018-01-29,128026.SZ,众兴转债,卖出,2045,99.61,203702.45,-3775.1919999999795,-1.8195656956617956
2018-01-29,123007.SZ,道氏转债,卖出,1749,112.12,196097.88,-10291.116,-4.986271651808416
2018-01-29,128030.SZ,天康转债,买入,1852,109.013,201892.076,0.0,0.0
2018-01-29,128033.SZ,迪龙转债,买入,1942,104.0,201968.0,0.0,0.0
2018-01-30,128032.SZ,双环转债,卖出,1971,101.518,200091.978,-7313.0220000000045,-3.5259622477760932
2018-01-30,128030.SZ,天康转债,卖出,6,108.825,652.95,-1.1280000000000143,-0.1724564960142394
2018-01-30,123005.SZ,万信转债,买入,1860,108.0,200880.0,0.0,0.0
2018-01-31,128030.SZ,天康转债,卖出,1846,108.0,199368.0,-2524.0759999999987,-1.250210533275209
2018-01-31,128033.SZ,迪龙转债,卖出,1942,100.89,195928.38,-6039.619999999999,-2.9903846153846114
2018-01-31,123005.SZ,万信转债,买入,23,105.418,2424.614,0.0,0.0
2018-01-31,113017.SH,吉视转债,买入,8,101.76,814.08,0.0,0.0
2018-01-31,128022.SZ,众信转债,买入,1755,113.098,198486.99,0.0,0.0
2018-02-01,123005.SZ,万信转债,卖出,10,105.348,1053.48,-26.204620286776503,-2.427062476801445
2018-02-01,113017.SH,吉视转债,买入,20,100.18,2003.6000000000001,0.0,0.0
2018-02-01,128022.SZ,众信转债,买入,12,111.65,1339.8000000000002,0.0,0.0
2018-02-02,123005.SZ,万信转债,卖出,13,107.01,1391.13,-19.95381313400958,-1.4140771050085488
2018-02-02,128022.SZ,众信转债,卖出,1767,114.252,201883.28399999999,2056.4940000000092,1.0291382852119169
2018-02-02,123002.SZ,国祯转债,买入,1827,108.96,199069.91999999998,0.0,0.0
2018-02-02,113017.SH,吉视转债,买入,8,100.64,805.12,0.0,0.0
2018-02-05,123005.SZ,万信转债,卖出,29,108.62,3149.98,-19.82312150537635,-0.6253739032209049
2018-02-05,123002.SZ,国祯转债,卖出,1827,107.602,196588.85400000002,-2481.0659999999816,-1.2463289280469803
2018-02-05,113017.SH,吉视转债,买入,9,100.1,900.9,0.0,0.0
2018-02-05,110041.SH,蒙电转债,买入,1977,100.61,198905.97,0.0,0.0
2018-02-06,110041.SH,蒙电转债,卖出,4,100.0,400.0,-2.4399999999999977,-0.6063015604810595
2018-02-06,123005.SZ,万信转债,买入,26,106.26,2762.76,0.0,0.0
2018-02-06,113017.SH,吉视转债,买入,10,98.83,988.3,0.0,0.0
2018-02-07,123005.SZ,万信转债,卖出,28,108.3,3032.4,-74.70095422724859,-2.4042010648420375
2018-02-07,110041.SH,蒙电转债,卖出,1973,100.12,197536.76,-1369.2099999999825,-0.6883704898349663
2018-02-07,113018.SH,常熟转债,买入,1825,108.52,198049.0,0.0,0.0
2018-02-07,113017.SH,吉视转债,买入,9,98.72,888.48,0.0,0.0
2018-02-08,113017.SH,吉视转债,卖出,16,99.71,1595.36,-50.783330009970086,-3.0849883533326627
2018-02-08,123005.SZ,万信转债,卖出,18,109.6,1972.8,-55.200400218698945,-2.72191268861417
2018-02-08,113018.SH,常熟转债,买入,27,107.15,2893.05,0.0,0.0
2018-02-09,113017.SH,吉视转债,卖出,2,98.06,196.12,-11.30233165829145,-5.448946392575982
2018-02-09,113018.SH,常熟转债,买入,37,103.2,3818.4,0.0,0.0
2018-02-09,123005.SZ,万信转债,买入,33,105.7,3488.1,0.0,0.0
2018-02-12,113017.SH,吉视转债,卖出,2,99.67,199.34,-8.291006036217311,-3.9931444703259267
2018-02-12,123005.SZ,万信转债,卖出,49,110.28,5403.72,-164.72806182212642,-2.958240069643814
